Number,FirstName,LastName,Status,Height,IsUndraftedFreeAgent,InjuryStatus
,Melvin,Gordon III,Inactive,6'1",False,
,Marcus,Peters,Inactive,6'0",False,
,Nelson,Agholor,Inactive,6'0",False,
,Cedric,Ogbuehi,Inactive,6'5",False,
,Breshad,Perriman,Inactive,6'2",False,
,Byron,Jones,Inactive,6'1",False,
,Malcom,Brown,Inactive,6'2",False,
,Landon,Collins,Inactive,6'0",False,
,Donovan,Smith,Inactive,6'6",False,
,Devin,Funchess,Inactive,6'4",True,
,Eric,Kendricks,Inactive,6'0",False,
,Jaquiski,Tartt,Inactive,6'1",False,
,Mitch,Morse,Inactive,6'6",False,
,Maxx,Williams,Inactive,6'4",False,
,Frank,Clark,Inactive,6'3",False,
,A.J.,Cann,Inactive,6'3",False,
,Hroniss,Grasu,Inactive,6'3",False,
,Tevin,Coleman,Inactive,6'1",False,
,Chris,Conley,Inactive,6'3",False,
,Duke,Johnson,Inactive,5'9",False,
,P.J.,Williams,Inactive,6'0",False,
,John,Miller,Inactive,6'2",False,
,Tyler,Kroft,Inactive,6'6",False,
,David,Johnson,Inactive,6'1",False,
,Sean,Mannion,Inactive,6'6",False,
,Chaz,Green,Inactive,6'5",False,
,Henry,Anderson,Inactive,6'6",False,
,Ty,Montgomery II,Inactive,6'0",False,
,Steven,Nelson,Inactive,5'11",False,
,Angelo,Blackson,Inactive,6'4",False,
,Trey,Flowers,Inactive,6'2",False,
,Jamison,Crowder,Inactive,5'9",False,
,Jamil,Douglas,Inactive,6'4",False,
,Blake,Bell,Inactive,6'6",False,
,Jon,Feliciano,Inactive,6'4",False,
,Shaq,Mason,Inactive,6'1",False,
,Max,Garcia,Inactive,6'4",False,
,Mark,Glowinski,Inactive,6'4",False,
,Kwon,Alexander,Inactive,6'1",False,
,Mike,Davis,Inactive,5'9",False,
,MyCole,Pruitt,Inactive,6'2",False,
,Brett,Hundley,Inactive,6'3",False,
,Tyeler,Davison,Inactive,6'2",False,
,C.J.,Uzomah,Inactive,6'6",False,
,Jesse,James,Inactive,6'7",False,
,David,Mayo,Inactive,6'2",False,
,Tye,Smith,Inactive,6'0",False,
,Nick,Boyle,Inactive,6'4",False,
,James,O'Shaughnessy,Inactive,6'4",False,
,Christian,Ringo,Inactive,6'1",False,
,Christian,Covington,Inactive,6'2",False,
,Austin,Reiter,Inactive,6'3",False,
,Justin,Coleman,Inactive,5'11",True,
,Malcolm,Brown,Inactive,5'11",True,
,Geoff,Swaim,Inactive,6'4",False,
,Tyrell,Adams,Inactive,6'2",True,
,Josh,Lambo,Inactive,6'0",True,
,Dean,Marlowe,Inactive,6'1",True,
,Anthony,Harris,Inactive,6'1",True,
,Brandon,King,Inactive,6'2",True,
,James,Vaughters,Inactive,6'2",True,
,Michael,Palardy,Inactive,5'11",True,
,Jake,Kumerow,Inactive,6'4",True,
,Adam,Humphries,Inactive,5'11",True,
,Troy,Hill,Inactive,5'10",True,
,DeShawn,Williams,Inactive,6'1",True,
,Justin,Hamilton,Inactive,6'2",True,
,Bryce,Callahan,Inactive,5'9",True,
,Josh,Watson,Inactive,6'2",True,
,David,Andrews,Inactive,6'2",True,
,Jordan,Berry,Inactive,6'5",True,
,Greg,Mancz,Inactive,6'4",True,
,Daniel,Munyer,Inactive,6'1",True,
,DeVante,Bausby,Inactive,6'1",True,
,Myles,Jack,Inactive,6'1",False,
,Reggie,Ragland,Inactive,6'2",False,
,Corey,Coleman,Inactive,5'11",False,
,Robert,Nkemdiche,Inactive,6'3",False,
,Keanu,Neal,Inactive,6'0",False,
,Vernon,Butler,Inactive,6'4",False,
,William,Jackson,Inactive,6'0",False,
,Karl,Joseph,Inactive,5'10",False,
,Noah,Spence,Inactive,6'2",False,
,Michael,Thomas,Inactive,6'3",False,
,Joe,Schobert,Inactive,6'1",False,
,Nick,Martin,Inactive,6'4",False,
,Mackensie,Alexander,Inactive,5'10",False,
,Tyler,Boyd,Inactive,6'2",False,
,Cody,Whitehair,Inactive,6'3",False,
,Vonn,Bell,Inactive,5'11",False,
,James,Bradberry IV,Inactive,6'1",False,
,Carl,Nassib,Inactive,6'7",False,
,Will,Redmond,Inactive,6'0",False,
,Kenyan,Drake,Inactive,6'1",False,
,Shon,Coleman,Inactive,6'6",False,
,Le'Raven,Clark,Inactive,6'5",False,
,Jordan,Jenkins,Inactive,6'3",False,
,Kendall,Fuller,Inactive,5'11",False,
,Nick,Vigil,Inactive,6'2",False,
,Kyler,Fackrell,Inactive,6'5",False,
,Justin,Simmons,Inactive,6'2",False,
,Tavon,Young,Inactive,5'9",False,
,Nick,Kwiatkoski,Inactive,6'2",False,
,De'Vondre,Campbell Sr.,Inactive,6'4",False,
,Hassan,Ridgeway,Inactive,6'3",False,
,Pharoh,Cooper,Inactive,5'11",False,
,Juston,Burris,Inactive,6'0",False,
,Willie,Beavers,Inactive,6'5",False,
,Quinton,Jefferson,Inactive,6'4",False,
,Caleb,Benenoch,Inactive,6'5",False,
,Jordan,Howard,Inactive,6'0",False,
,Matt,Ioannidis,Inactive,6'3",False,
,Joe,Haeg,Inactive,6'6",False,
,Jonathan,Williams,Inactive,6'0",False,
,Brandon,Shell,Inactive,6'5",False,
,Kevin,Hogan,Inactive,6'3",False,
,Halapoulivaati,Vaitai,Inactive,6'6",False,
,Blake,Martinez,Inactive,6'2",False,
,Rashard,Robinson,Inactive,6'1",False,
,Tajae,Sharpe,Inactive,6'2",False,
,Rashard,Higgins,Inactive,6'1",False,
,Andy,Janovich,Inactive,6'1",False,
,Devante,Bond,Inactive,6'1",False,
,DeAndre,Houston-Carson,Inactive,6'1",False,
,Derek,Watt,Inactive,6'2",False,
,Kamu,Grugier-Hill,Inactive,6'2",False,
,Joey,Hunt,Inactive,6'2",False,
,Will,Parks,Inactive,6'0",False,
,Stephen,Weatherly,Inactive,6'5",False,
,Dwayne,Washington,Inactive,6'1",False,
,Jayron,Kearse,Inactive,6'4",False,
,Clayton,Fejedelem,Inactive,6'1",False,
,Tyler,Matakevich,Inactive,6'1",False,
,Austin,Blythe,Inactive,6'2",False,
,Joe,Walker,Inactive,6'2",False,
,Cre'Von,LeBlanc,Inactive,5'10",True,
,Ken,Crawley,Inactive,6'1",True,
,Matt,Skura,Inactive,6'3",True,
,Marcus,Johnson,Inactive,6'1",True,
,Taylor,Bertolet,Inactive,5'8",True,
,Justin,Zimmer,Inactive,6'3",True,
,Antwaun,Woods,Inactive,6'1",True,
,Stephen,Anderson,Inactive,6'2",True,
,Romeo,Okwara,Inactive,6'4",True,
,Geronimo,Allison,Inactive,6'3",True,
,Rashod,Hill,Inactive,6'6",True,
,Jarrod,Wilson,Inactive,6'2",True,
,Ryan,Smith,Inactive,5'11",,
,Marken,Michel,Inactive,5'11",True,
,Matthias,Farley,Inactive,5'11",True,
,Justin,Murray,Inactive,6'5",True,
,Mike,Thomas,Inactive,6'1",False,
,J.D.,McKissic,Inactive,5'10",True,
,Trevon,Coley,Inactive,6'1",True,
,Michael,Pierce,Inactive,6'0",True,
,J.P.,Holtz,Inactive,6'3",True,
,Charles,Washington,Inactive,5'10",True,
,Brennan,Scarlett,Inactive,6'4",True,
,Cory,Littleton,Inactive,6'3",True,
,Lafayette,Pitts,Inactive,5'10",True,
,Andrew,Adams,Inactive,5'11",True,
,Brandin,Bryant,Inactive,6'2",True,
,Chester,Rogers,Inactive,6'0",True,
,Aldrick,Rosas,Inactive,6'3",True,
,Garrett,Griffin,Inactive,6'4",True,
,Marvin,Hall,Inactive,5'10",True,
,Sam,Ficken,Inactive,6'1",True,
,Isaiah,Williams,Inactive,6'3",True,
,Leonard,Fournette,Inactive,6'0",False,
,Jaydon,Mickens,Inactive,5'10",True,
,Taybor,Pepper,Inactive,6'4",True,
,Corey,Davis,Inactive,6'3",False,
,Cyril,Grayson Jr.,Inactive,5'9",True,
,O.J.,Howard,Inactive,6'6",False,
,Davis,Webb,Inactive,6'5",False,
,Jarrad,Davis,Inactive,6'1",False,
,Taco,Charlton,Inactive,6'5",False,
,Charles,Harris,Inactive,6'3",False,
,Ryan,Ramczyk,Inactive,6'6",False,
,Sidney,Jones IV,Inactive,6'0",False,
,Tyus,Bowser,Inactive,6'3",False,
,Adam,Shaheen,Inactive,6'7",False,
,DeMarcus,Walker,Inactive,6'4",False,
,Teez,Tabor,Inactive,6'0",False,
,Quincy,Wilson,Inactive,6'2",False,
,Gerald,Everett,Inactive,6'3",False,
,Raekwon,McMillan,Inactive,6'2",False,
,Marcus,Williams,Inactive,6'1",False,
,Marcus,Maye,Inactive,5'11",False,
,Forrest,Lamp,Inactive,6'4",False,
,Justin,Evans,Inactive,6'0",False,
,Ryan,Anderson,Inactive,6'2",False,
,Chris,Wormley,Inactive,6'5",False,
,Jordan,Willis,Inactive,6'4",False,
,D'Onta,Foreman,Inactive,6'0",False,
,Tarell,Basham,Inactive,6'4",False,
,Josh,Jones,Inactive,6'1",False,
,Kenny,Golladay,Inactive,6'4",False,
,Montravius,Adams,Inactive,6'4",False,
,John,Johnson III,Inactive,6'0",False,Out
,Cameron,Sutton,Inactive,5'11",False,
,Vince,Biegel,Inactive,6'3",False,
,Dede,Westbrook,Inactive,6'0",False,
,Carl,Lawson,Inactive,6'2",False,
,Jamaal,Williams,Inactive,6'0",False,
,Wayne,Gallman,Inactive,6'0",False,
,Marlon,Mack,Inactive,5'11",False,
,Josh,Malone,Inactive,6'3",False,
,Jalen,Reeves-Maybin,Inactive,6'1",False,
,Jaleel,Johnson,Inactive,6'3",False,
,Will,Holden,Inactive,6'7",False,
,Brian,Hill,Inactive,6'1",False,
,Roderick,Johnson,Inactive,6'7",False,
,Corn,Elder,Inactive,5'10",False,
,Nate,Hairston,Inactive,6'0",False,
,Danny,Isidora,Inactive,6'3",False,
,Marquel,Lee,Inactive,6'3",False,
,Nate,Gerry,Inactive,6'2",False,
,Brian,Allen,Inactive,6'3",False,
,Desmond,King II,Inactive,5'10",False,
,Jayon,Brown,Inactive,6'0",False,
,Jeremy,Sprinkle,Inactive,6'5",False,
,Tanner,Vallejo,Inactive,6'1",False,
,Alex,Armah,Inactive,6'1",False,
,Mason,Schreck,Inactive,6'5",False,
,Brandon,Wilson,Inactive,5'10",False,
,Zane,Gonzalez,Inactive,6'0",False,
,Kyle,Fuller,Inactive,6'4",False,
,Isaiah,Ford,Inactive,6'2",False,
,Vincent,Taylor,Inactive,6'2",False,
,Elijah,Lee,Inactive,6'3",False,
,Ifeadi,Odenigbo,Inactive,6'3",False,
,Isaac,Rochell,Inactive,6'4",False,
,Adrian,Colbert,Inactive,6'2",False,
,Pita,Taumoepenu,Inactive,6'1",False,
,Chase,Roullier,Inactive,6'4",False,
,Chris,Odom,Inactive,6'3",True,
,Darrell,Daniels,Inactive,6'3",True,
,Bug,Howard,Inactive,6'4",True,
,C.J.,Board,Inactive,6'1",True,
,Cethan,Carter,Inactive,6'3",True,
,Eric,Smith,Inactive,6'4",True,
,Tashawn,Bower,Inactive,6'5",True,
,Adam,Pankey,Inactive,6'4",True,
,Chase,Allen,Inactive,6'3",True,
,Cody,Hollister,Inactive,6'4",True,
,Austin,Calitro,Inactive,6'0",True,
,Anthony,Firkser,Inactive,6'2",True,
,Nicholas,Morrow,Inactive,6'0",True,
,Jordan,Simmons,Inactive,6'3",True,
,Victor,Bolden,Inactive,5'8",True,
,Harvey,Langi,Inactive,6'2",True,
,Antony,Auclair,Inactive,6'6",True,
,Greg,Mabin,Inactive,6'1",True,
,Marcus,Kemp,Inactive,6'4",True,
,Ben,Braden,Inactive,6'6",True,
,Ricky,Seals-Jones,Inactive,6'5",True,
,Rashaad,Coward,Inactive,6'5",True,
,Tanner,Gentry,Inactive,6'2",True,
,Kai,Nacua,Inactive,6'0",True,
,Channing,Stribling,Inactive,6'1",True,
,Joe,Jones,Inactive,6'0",True,
,Cameron,Hunt,Inactive,6'4",True,
,Kyle,Sloter,Inactive,6'5",True,
,Dylan,Cole,Inactive,6'0",True,
,Justin,Hardee Sr.,Inactive,6'0",True,
,Keelan,Cole Sr.,Inactive,6'1",True,
,Alex,Barrett,Inactive,6'2",True,
,Colin,Thompson,Inactive,6'4",True,
,Corey,Clement,Inactive,5'10",True,
,Jamal,Perry,Inactive,5'10",True,
,Michael,Davis,Inactive,6'2",True,
,Dan,Arnold,Inactive,6'6",True,
,Lance,Lenoir,Inactive,6'0",True,
,Jordan,Roos,Inactive,6'3",True,
,Rashard,Davis,Inactive,5'9",True,
,Jon,Toth,Inactive,6'5",True,
,Josh,Rosen,Inactive,6'4",False,
,Brandon,Zylstra,Inactive,6'2",True,
,Marcell,Ateman,Inactive,6'4",False,
,Billy,Price,Inactive,6'4",False,
,Colby,Wadman,Inactive,6'1",True,
,Sony,Michel,Inactive,5'11",False,
,Leighton,Vander Esch,Inactive,6'4",False,
,Hayden,Hurst,Inactive,6'4",False,
,Isaiah,Wynn,Inactive,6'2",False,
,Shaquille,Leonard,Inactive,6'2",False,
,Josh,Jackson,Inactive,6'0",False,
,Ronald,Jones,Inactive,5'11",False,
,Sam,Hubbard,Inactive,6'5",False,
,Chad,Thomas,Inactive,6'5",False,
,Duke,Dawson,Inactive,5'10",False,
,Mason,Cole,Inactive,6'5",False,
,Jordan,Akins,Inactive,6'4",False,
,DaeSean,Hamilton,Inactive,6'1",False,
,Antonio,Callaway,Inactive,5'11",False,
,Maurice,Hurst II,Inactive,6'2",False,
,Kenny,Young,Inactive,6'1",False,
,Anthony,Averett,Inactive,5'11",False,
,Keke,Coutee,Inactive,5'11",False,
,Will,Richardson Jr.,Inactive,6'6",False,
,Armani,Watts,Inactive,5'11",False,
,Rick,Leonard,Inactive,6'7",False,
,R.J.,McIntosh,Inactive,6'4",False,
,Chris,Herndon,Inactive,6'4",False,
,Jordan,Whitehead,Inactive,5'10",False,
,Troy,Apke,Inactive,6'1",False,
,John,Kelly,Inactive,5'10",False,
,Jermaine,Carter,Inactive,6'1",False,
,Andrew,Brown,Inactive,6'3",False,
,Davontae,Harris,Inactive,5'11",False,
,Darius,Phillips,Inactive,5'10",False,
,Troy,Fumagalli,Inactive,6'6",False,
,Jordan,Wilkins,Inactive,6'1",False,
,Micah,Kiser,Inactive,6'0",False,
,Christian,Sam,Inactive,6'2",False,
,Marcus,Allen,Inactive,6'2",False,
,Marcell,Harris,Inactive,6'0",False,
,Shaun Dion,Hamilton,Inactive,6'0",False,
,Greg,Senat,Inactive,6'6",False,
,Javon,Wims,Inactive,6'4",False,
