Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
52,OL,991307115,,
26,RB,991337308,,
26,RB,991307116,,
41,RB,991307117,,
86,WR,991307118,,
35,DB,991337309,,
35,DB,991307119,,
81,WR,991307120,,
54,DL,991307121,,
54,DL,991337310,,
48,LB,991307122,,
40,LB,991307123,,
40,LB,991337311,,
98,DL,991337312,,
98,DL,991307124,,
82,WR,991337313,,
82,WR,991307125,,
72,OL,991337314,,
73,OL,991307126,,
80,WR,991307127,,
11,DL,991337315,,
11,LB,991307128,,
27,DL,991307129,,
27,DL,991337316,,
31,DB,991307130,,
31,DB,991337317,,
47,TE,991307131,,
33,DB,991307132,,
33,DB,991337318,,
37,DB,991307133,,
69,OL,991337319,,
69,OL,991307134,,
67,OL,991307135,,
46,K,991307136,,
38,RB,991307137,,
38,RB,991337320,,
41,DB,991307138,,
91,DL,991307139,,
83,WR,991307140,,
59,LB,991307141,,
62,OL,991307142,,
10,WR,991304817,,
10,WR,991339131,,
94,DL,991339132,,
62,DL,991304818,,
58,DL,991304819,,
53,LB,991339133,,
53,LB,991304820,,
79,OL,991339134,,
79,OL,991304821,,
22,RB,991304822,,
22,RB,991339135,,
44,DB,991339136,,
44,DB,991304823,,
3,DB,991339137,,
3,DB,991304824,,
42,RB,991339138,,
42,RB,991304825,,
15,QB,991304826,,
15,QB,991339139,,
8,QB,991304827,,
8,QB,991339140,,
89,TE,991339141,,
89,TE,991304828,,
0,LB,991339142,,
0,LB,991304829,,
23,DB,991339143,,
23,DB,991304830,,
6,WR,991304831,,
68,OL,991304832,,
68,OL,991339144,,
18,WR,991304833,,
38,RB,991320823,,
43,RB,991304834,,
43,RB,991339145,,
46,LS,991339146,,
46,LS,991304835,,
30,RB,991304836,,
96,DL,991339147,,
96,DL,991304837,,
92,DL,991304838,,
92,DL,991339148,,
85,TE,991304839,,
16,WR,991339149,,
16,WR,991304840,,
7,WR,991339150,,
7,WR,991304841,,
66,OL,991339151,,
66,OL,991304842,,
